frame,car,motorcycle,bus,truck
720,1,0,0,2
721,1,0,0,2
722,1,0,0,2
723,2,0,0,2
724,1,0,0,2
725,1,0,0,2
726,1,0,0,2
727,1,0,0,2
728,1,0,0,2
729,1,0,0,2
730,1,0,0,2
731,1,0,0,2
732,1,0,0,2
733,1,0,0,2
734,1,0,0,2
735,1,0,0,2
736,1,0,0,2
737,1,0,0,2
738,1,0,0,2
739,1,0,0,2
740,1,0,0,2
741,1,0,0,2
742,1,0,0,2
743,1,0,0,2
744,1,0,0,2
745,1,0,0,2
746,1,0,0,2
747,1,0,0,2
748,1,0,0,2
749,1,0,0,2
750,1,0,0,2
751,1,0,0,2
752,0,0,0,2
753,1,0,0,2
754,0,0,0,2
755,1,0,0,1
756,1,0,0,1
757,0,0,0,1
758,1,0,0,1
759,1,0,0,1
760,0,0,0,1
761,1,0,0,1
762,1,0,0,3
763,1,0,0,3
764,1,0,0,3
765,1,0,0,2
766,1,0,0,2
767,1,0,1,2
768,1,0,0,2
769,2,0,0,1
770,3,0,0,2
771,1,0,1,2
772,1,0,0,2
773,1,0,0,1
774,1,0,0,1
775,2,0,0,1
776,1,0,0,1
777,1,0,0,1
778,1,0,0,1
779,1,0,0,1
780,1,0,1,1
781,1,0,0,1
782,1,0,0,1
783,1,0,0,1
784,1,0,0,1
785,0,0,0,2
786,0,0,0,1
787,0,0,0,1
788,1,0,0,1
789,0,0,0,1
790,0,0,0,1
791,0,0,0,1
792,0,0,0,1
793,0,0,0,1
794,0,0,0,1
795,0,0,0,1
796,0,0,0,1
797,0,0,0,1
798,0,0,0,1
799,0,0,0,1
800,0,0,0,1
801,1,0,0,1
802,1,0,0,1
803,1,0,0,1
804,1,0,0,1
805,1,0,0,0
806,1,0,0,0
807,1,0,0,1
808,2,0,0,0
809,1,0,0,0
810,2,0,0,0
811,1,0,0,1
812,1,0,0,1
813,1,0,0,1
814,2,0,0,1
815,2,0,0,1
816,1,0,0,1
817,1,0,0,1
818,1,0,0,1
819,1,0,0,1
820,1,0,0,1
821,1,0,0,1
822,1,0,0,1
823,1,0,0,1
824,1,0,0,1
825,1,0,0,1
826,1,0,0,1
827,1,0,0,1
828,1,0,0,1
829,1,0,0,1
830,1,0,0,1
831,1,0,0,1
832,1,0,0,1
833,2,0,0,1
834,1,0,0,1
835,1,0,0,1
836,1,0,1,1
837,1,0,0,1
838,1,0,0,1
839,1,0,0,1
840,1,0,0,1
841,1,0,0,1
842,1,0,0,1
843,1,0,0,1
844,1,0,0,1
845,1,0,0,1
846,1,0,0,1
847,1,0,0,1
848,1,0,0,1
849,0,0,0,1
850,0,0,0,1
851,0,0,0,1
852,0,0,0,1
853,1,0,0,1
854,0,0,0,1
855,0,0,0,0
856,0,0,0,1
857,1,0,0,1
858,1,0,0,1
859,0,0,0,1
860,0,0,0,1
861,0,0,0,1
862,1,0,0,1
863,1,0,0,1
864,1,0,0,1
865,1,0,0,1
866,1,0,0,1
867,1,0,0,1
868,1,0,0,1
869,1,0,0,0
870,1,0,0,1
871,1,0,0,1
872,1,0,0,1
873,1,0,0,1
874,1,0,0,1
875,0,0,0,1
876,0,0,0,1
877,0,0,0,1
878,0,0,0,1
879,0,0,0,1
880,1,0,0,0
881,0,0,0,0
882,0,0,0,0
883,0,0,0,0
884,0,0,0,0
885,0,0,0,1
886,0,1,0,0
887,0,1,0,0
888,0,2,0,0
889,0,1,0,0
890,0,2,0,0
891,0,2,0,0
892,0,1,0,0
893,1,1,0,0
894,2,1,0,1
895,1,2,0,2
896,0,2,0,1
897,0,2,0,0
898,1,1,0,2
899,0,2,0,2
900,1,1,0,1
901,1,1,0,2
902,0,1,0,1
903,0,1,0,0
904,0,1,0,0
905,1,1,0,0
906,0,1,0,0
907,1,1,0,0
908,1,1,0,0
909,1,2,0,0
910,1,0,0,2
911,0,1,0,0
912,0,2,0,0
913,0,0,0,0
914,1,1,0,0
915,1,1,0,0
916,0,3,0,0
917,0,2,0,0
918,0,3,0,0
919,0,2,0,0
920,0,1,0,0
921,0,2,0,1
922,1,2,0,1
923,0,1,0,1
924,1,1,0,1
925,2,1,0,1
926,1,2,0,1
927,2,2,0,0
928,4,1,0,0
929,2,1,0,1
930,3,1,0,0
931,1,1,0,0
932,1,2,0,2
933,0,1,0,0
934,2,1,0,1
935,2,1,0,2
936,2,2,0,2
937,0,1,0,2
938,1,2,0,2
939,0,1,0,1
940,2,2,0,2
941,2,1,0,2
942,3,1,0,2
943,2,1,0,1
944,1,1,0,1
945,0,1,0,1
946,1,2,0,0
947,1,2,0,1
948,0,2,0,0
949,4,2,0,0
950,1,2,0,0
951,0,1,0,1
952,3,2,0,1
953,2,1,0,2
954,2,2,0,1
955,2,1,0,0
956,2,2,0,1
957,2,1,0,1
958,3,1,0,1
959,2,3,0,1
960,1,2,0,0
961,1,2,0,1
962,0,2,0,1
963,0,2,0,1
964,1,2,0,1
965,2,2,0,1
966,3,2,0,0
967,3,2,0,0
968,2,2,0,0
969,2,2,0,0
970,0,1,0,1
971,1,2,0,1
972,1,2,0,0
973,1,2,0,0
974,0,2,0,1
975,1,2,0,1
976,2,1,0,0
977,0,1,0,0
978,0,1,0,0
979,0,1,0,0
980,0,0,0,1
981,0,0,0,0
982,0,0,0,0
983,0,0,0,0
984,0,0,0,1
985,1,0,0,0
986,0,0,0,0
987,0,0,0,0
988,0,0,0,0
989,2,0,0,0
990,1,1,0,1
991,1,2,0,1
992,0,1,0,0
993,1,2,0,0
994,4,2,0,0
995,5,0,0,0
996,2,1,0,0
997,2,1,0,1
998,2,0,0,0
999,1,0,0,0
1000,1,0,0,1
1001,2,0,0,1
1002,3,0,0,1
1003,3,0,0,1
1004,2,0,0,1
1005,1,0,0,1
1006,1,0,0,1
1007,3,0,0,1
1008,2,0,0,2
1009,2,0,0,1
1010,2,1,0,1
1011,3,0,0,1
1012,1,0,0,2
1013,1,0,0,2
1014,1,0,0,2
1015,1,0,0,1
1016,3,0,0,2
1017,3,0,0,1
1018,3,0,0,1
1019,3,0,0,2
1020,3,0,0,2
1021,2,0,0,2
1022,2,0,0,2
1023,2,0,0,2
1024,2,0,0,2
1025,2,0,0,1
1026,2,0,0,2
1027,2,0,0,2
1028,2,0,0,2
1029,2,0,0,2
1030,2,0,0,2
1031,1,0,0,2
1032,1,0,0,2
1033,2,0,0,2
1034,2,0,0,1
1035,2,0,0,2
1036,2,0,0,2
1037,2,0,0,2
1038,0,0,0,2
1039,1,0,0,2
1040,0,0,0,2
1041,0,0,0,2
1042,2,0,0,3
1043,0,0,0,3
1044,0,0,0,3
1045,1,0,0,3
1046,0,0,0,3
1047,1,0,0,3
1048,2,0,0,1
1049,1,0,0,2
1050,1,0,0,2
1051,1,0,0,1
1052,2,1,0,1
1053,2,0,0,2
1054,1,0,0,1
